fold	num_round	rmse
0	10	:[0]	eval-rmse:0.142854
0	20	:[0]	eval-rmse:0.132882
0	30	:[0]	eval-rmse:0.129782
0	40	:[0]	eval-rmse:0.128353
0	50	:[0]	eval-rmse:0.126783
0	60	:[0]	eval-rmse:0.126401
0	70	:[0]	eval-rmse:0.126257
0	80	:[0]	eval-rmse:0.126093
0	90	:[0]	eval-rmse:0.125984
0	100	:[0]	eval-rmse:0.125972
0	110	:[0]	eval-rmse:0.125782
0	120	:[0]	eval-rmse:0.125628
0	130	:[0]	eval-rmse:0.125630
0	140	:[0]	eval-rmse:0.125672
0	150	:[0]	eval-rmse:0.125695
0	160	:[0]	eval-rmse:0.125752
0	170	:[0]	eval-rmse:0.125818
0	180	:[0]	eval-rmse:0.125790
0	190	:[0]	eval-rmse:0.125823
0	200	:[0]	eval-rmse:0.125763
0	210	:[0]	eval-rmse:0.125880
0	220	:[0]	eval-rmse:0.125861
0	230	:[0]	eval-rmse:0.125885
0	240	:[0]	eval-rmse:0.125922
0	250	:[0]	eval-rmse:0.126059
0	260	:[0]	eval-rmse:0.125992
0	270	:[0]	eval-rmse:0.126039
0	280	:[0]	eval-rmse:0.126041
0	290	:[0]	eval-rmse:0.126045
0	300	:[0]	eval-rmse:0.125991
0	310	:[0]	eval-rmse:0.126042
0	320	:[0]	eval-rmse:0.126135
0	330	:[0]	eval-rmse:0.126196
0	340	:[0]	eval-rmse:0.126234
0	350	:[0]	eval-rmse:0.126259
0	360	:[0]	eval-rmse:0.126290
0	370	:[0]	eval-rmse:0.126387
0	380	:[0]	eval-rmse:0.126389
0	390	:[0]	eval-rmse:0.126457
0	400	:[0]	eval-rmse:0.126504
0	410	:[0]	eval-rmse:0.126528
0	420	:[0]	eval-rmse:0.126510
0	430	:[0]	eval-rmse:0.126561
0	440	:[0]	eval-rmse:0.126528
0	450	:[0]	eval-rmse:0.126526
0	460	:[0]	eval-rmse:0.126551
0	470	:[0]	eval-rmse:0.126553
0	480	:[0]	eval-rmse:0.126619
0	490	:[0]	eval-rmse:0.126643
0	500	:[0]	eval-rmse:0.126702
0	510	:[0]	eval-rmse:0.126706
0	520	:[0]	eval-rmse:0.126732
